phi,m,n,k,function,3,4,5,6,7,8,9,10,11,12,
0.500000,128,128,65536,OS2-i8-fast,8.351631e+03,3.433740e+03,1.101851e+02,3.783140e+00,6.799640e-01,8.682895e-03,1.057821e-03,2.978884e-05,7.115920e-05,2.894782e-04,
0.500000,128,128,65536,OS2-i8-accu,3.121077e+03,7.536609e+01,5.306831e+00,1.336364e+00,3.261215e-02,5.853227e-03,1.561304e-04,3.106107e-06,3.301250e-06,1.674892e-06,
0.500000,128,128,65536,OS2-f8-fast,3.779142e+03,1.101851e+02,3.783041e+00,1.415795e-01,1.749014e-02,7.861489e-04,4.099136e-04,4.120278e-04,2.582553e-04,6.136828e-05,
0.500000,128,128,65536,OS2-f8-accu,2.021721e+02,5.306831e+00,6.798860e-01,7.526238e-03,3.636648e-04,4.528964e-06,2.260320e-06,1.261657e-06,9.918920e-07,1.591529e-06,
1.000000,128,128,1024,CGEMM,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,
1.000000,128,128,1024,BF16x9,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,3.189445e-03,
1.000000,128,128,1024,OS2-i8-fast,3.015098e+03,8.095203e+02,2.640384e+01,1.169016e+00,9.884661e-02,2.723833e-02,8.011701e-04,2.906433e-05,5.292757e-05,7.439552e-05,
1.000000,128,128,1024,OS2-i8-accu,2.986184e+02,8.491749e+00,3.997380e-01,1.135409e-01,5.721189e-03,1.077341e-04,2.458055e-06,7.834068e-08,6.212067e-08,7.834068e-08,
1.000000,128,128,1024,OS2-f8-fast,1.098333e+03,2.640384e+01,1.288350e+00,1.106104e-01,2.994190e-03,3.532366e-04,1.044279e-04,4.014670e-04,1.803199e-04,1.067809e-04,
1.000000,128,128,1024,OS2-f8-accu,1.757397e+01,3.997380e-01,6.926007e-02,1.069046e-03,8.524808e-06,2.497791e-07,6.115575e-08,1.660873e-07,6.718939e-08,6.212067e-08,
1.000000,128,128,2048,CGEMM,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,
1.000000,128,128,2048,BF16x9,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,3.007310e-03,
1.000000,128,128,2048,OS2-i8-fast,2.169537e+03,4.289185e+02,5.308664e+01,5.953448e+00,6.203654e-02,5.168045e-03,9.276416e-04,2.296278e-05,5.859173e-05,2.828750e-05,
