phi,m,n,k,function,relerr_max,relerr_med,TFLOPS,total_time [sec],conv_64f_2_8i,cublasGemmEx,conv_32i_2_8u,inverse_scaling
5.00E-01,8192,8192,8192,OS2-fast-5,9.39E+04,1.31E-03,1.73E+02,2.54E-02,2.35E-03,2.05E-02,1.59E-03,7.47E-04
5.00E-01,8192,8192,8192,OS2-fast-6,1.26E+04,8.20E-05,1.46E+02,3.02E-02,2.63E-03,2.46E-02,1.96E-03,8.26E-04
5.00E-01,8192,8192,8192,OS2-fast-7,3.66E+02,5.13E-06,1.26E+02,3.50E-02,2.89E-03,2.87E-02,2.24E-03,9.03E-04
5.00E-01,8192,8192,8192,OS2-fast-8,1.17E+01,3.20E-07,1.10E+02,3.98E-02,3.13E-03,3.29E-02,2.62E-03,9.84E-04
5.00E-01,8192,8192,8192,OS2-fast-9,2.63E+00,2.00E-08,9.85E+01,4.47E-02,3.44E-03,3.71E-02,2.86E-03,1.05E-03
5.00E-01,8192,8192,8192,OS2-fast-10,3.95E-02,1.25E-09,8.92E+01,4.93E-02,3.63E-03,4.10E-02,3.30E-03,1.13E-03
5.00E-01,8192,8192,8192,OS2-fast-11,4.94E-03,7.82E-11,8.10E+01,5.43E-02,4.01E-03,4.54E-02,3.47E-03,1.21E-03
5.00E-01,8192,8192,8192,OS2-fast-12,3.70E-04,4.89E-12,7.41E+01,5.93E-02,4.42E-03,4.95E-02,3.92E-03,1.28E-03
5.00E-01,8192,8192,8192,OS2-fast-13,2.88E-05,3.06E-13,6.87E+01,6.40E-02,4.79E-03,5.35E-02,4.20E-03,1.35E-03
5.00E-01,8192,8192,8192,OS2-fast-14,3.15E-06,2.10E-14,6.38E+01,6.90E-02,5.14E-03,5.76E-02,4.55E-03,1.42E-03
5.00E-01,8192,8192,8192,OS2-fast-15,2.52E-07,2.27E-15,5.95E+01,7.39E-02,5.47E-03,6.18E-02,4.81E-03,1.50E-03
5.00E-01,8192,8192,8192,OS2-fast-16,6.48E-09,9.57E-17,5.59E+01,7.87E-02,5.78E-03,6.60E-02,5.16E-03,1.58E-03
5.00E-01,8192,8192,8192,OS2-fast-17,6.18E-11,4.61E-17,5.30E+01,8.30E-02,6.03E-03,6.97E-02,5.43E-03,1.63E-03
5.00E-01,8192,8192,8192,OS2-fast-18,5.31E-13,4.55E-17,5.02E+01,8.76E-02,6.34E-03,7.34E-02,5.96E-03,1.69E-03
5.00E-01,8192,8192,8192,OS2-fast-19,7.17E-14,4.55E-17,4.75E+01,9.26E-02,6.78E-03,7.78E-02,6.00E-03,1.77E-03
5.00E-01,8192,8192,8192,OS2-fast-20,1.46E-14,4.55E-17,4.51E+01,9.75E-02,7.06E-03,8.20E-02,6.34E-03,1.84E-03
